25-02-27 16:58:35.248 [main] INFO  com.xchat.xchat.XchatApplication - Starting XchatApplication using Java 17.0.6 with PID 34644 (C:\Users\veeks\OneDrive\Desktop\Vchat\vchat_backend\target\classes started by veekshith in C:\Users\veeks\OneDrive\Desktop\Vchat\vchat_backend) 
25-02-27 16:58:35.253 [main] INFO  com.xchat.xchat.XchatApplication - The following 1 profile is active: "prod" 
25-02-27 16:58:36.233 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-02-27 16:58:36.464 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 225 ms. Found 4 MongoDB repository interfaces. 
25-02-27 16:58:37.197 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8088 (http) 
25-02-27 16:58:37.215 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8088"] 
25-02-27 16:58:37.218 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-02-27 16:58:37.218 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25] 
25-02-27 16:58:37.322 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-02-27 16:58:37.323 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2002 ms 
25-02-27 16:58:37.644 [cluster-ClusterId{value='67c04c65f51eab31dadd115b', description='null'}-srv-cluster0.dp01ztl.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017 to client view of cluster 
